PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Juancho Hernangómez,15,DEN,2016,62.0,13.6,1.6,3.6,0.9,1.2,0.7,2.3,0.5,0.5,0.2,0.5,1.0,4.9,8.7,-1.9,0.1,12.5
Wade Baldwin,17,MEM,2016,33.0,12.3,1.1,3.5,0.9,1.1,0.3,1.1,1.8,0.5,0.2,1.2,1.2,3.2,-0.3,-5.3,-0.5,5.1
Henry Ellenson,18,DET,2016,19.0,7.7,1.2,3.4,0.2,0.4,0.4,1.7,0.4,0.1,0.1,0.7,0.3,3.2,0.4,-3.7,-0.3,7.3
Malik Beasley,19,DEN,2016,22.0,7.5,1.5,3.3,0.4,0.5,0.2,0.5,0.5,0.3,0.0,0.4,0.5,3.8,15.4,-1.3,2.1,12.3
Caris LeVert,20,IND,2016,57.0,21.7,3.0,6.7,1.2,1.6,0.4,2.9,1.9,0.9,0.1,1.0,1.6,8.2,19.9,-0.4,5.3,11.3
DeAndre' Bembry,21,ATL,2016,38.0,9.8,1.2,2.6,0.2,0.4,0.4,1.2,0.7,0.2,0.1,0.4,0.6,2.7,4.4,-2.3,-0.4,8.2
Malachi Richardson,22,CHO,2016,22.0,9.0,1.3,3.1,0.7,0.9,0.1,0.9,0.5,0.2,0.0,0.4,1.0,3.6,-0.1,-6.1,-0.7,7.7
Timothé Luwawu-Cabarrot,24,PHI,2016,69.0,17.2,2.1,5.2,1.5,1.8,0.4,1.8,1.1,0.5,0.1,1.1,2.2,6.4,4.7,-4.0,-2.7,7.7
Brice Johnson,25,LAC,2016,3.0,3.0,0.7,2.3,0.0,0.0,0.3,0.7,0.3,0.7,0.3,0.3,0.0,1.3,0.1,-0.6,0.0,17.0
Pascal Siakam,27,TOR,2016,55.0,15.6,1.9,3.7,0.4,0.6,1.2,2.2,0.3,0.5,0.8,0.6,2.0,4.2,47.9,2.0,17.2,10.3
Skal Labissière,28,PHO,2016,33.0,18.5,3.5,6.6,1.6,2.2,1.5,3.4,0.8,0.5,0.4,1.1,1.9,8.8,4.4,-2.3,-0.2,15.4
Dejounte Murray,29,SAS,2016,38.0,8.5,1.3,3.1,0.6,0.8,0.2,0.9,1.3,0.2,0.2,1.0,0.8,3.4,26.0,1.6,12.5,8.5
Damian Jones,30,GSW,2016,10.0,8.5,0.8,1.6,0.3,1.0,0.9,1.4,0.0,0.1,0.4,0.6,1.5,1.9,11.3,-1.0,1.0,5.1
Deyonta Davis,31,BOS,2016,36.0,6.6,0.7,1.3,0.3,0.5,0.6,1.1,0.1,0.1,0.5,0.2,1.1,1.6,3.6,-2.1,0.0,10.4
Ivica Zubac,32,LAL,2016,38.0,16.0,3.3,6.3,0.8,1.3,1.1,3.1,0.8,0.4,0.9,0.8,1.7,7.5,39.6,0.3,6.4,15.6
Cheick Diallo,33,LAC,2016,17.0,11.7,2.1,4.5,0.9,1.2,1.4,2.9,0.2,0.2,0.4,0.4,1.0,5.1,6.3,-1.4,0.3,15.8
Tyler Ulis,34,PHO,2016,61.0,18.4,3.0,7.2,0.9,1.2,0.3,1.2,3.7,0.8,0.1,1.3,1.2,7.3,0.5,-3.6,-1.1,11.5
Malcolm Brogdon,36,MIL,2016,75.0,26.4,3.9,8.5,1.5,1.7,0.6,2.2,4.2,1.1,0.2,1.5,1.9,10.2,32.6,1.4,11.1,13.1
Chinanu Onuaku,37,HOU,2016,5.0,10.4,1.0,1.4,0.8,0.8,0.4,1.6,0.6,0.6,0.2,0.8,1.2,2.8,0.1,-5.4,-0.1,11.7
Patrick McCaw,38,MIL,2016,71.0,15.1,1.5,3.5,0.4,0.5,0.3,1.1,1.1,0.5,0.2,0.5,0.9,4.0,4.4,-2.8,-0.6,8.4
Diamond Stone,40,NOP,2016,7.0,3.4,0.4,1.9,0.6,0.6,0.1,0.7,0.0,0.0,0.1,0.3,0.7,1.4,-0.1,-20.8,-0.1,-2.8
Stephen Zimmerman,41,ORL,2016,19.0,5.7,0.5,1.6,0.2,0.3,0.6,1.3,0.2,0.1,0.3,0.2,0.9,1.2,0.0,-8.3,-0.2,7.0
Isaiah Whitehead,42,UTA,2016,73.0,22.5,2.8,7.0,1.2,1.5,0.4,2.1,2.6,0.6,0.5,1.9,2.4,7.4,-0.9,-5.0,-1.4,6.8
Demetrius Jackson,45,BOS,2016,5.0,3.4,0.6,0.8,0.6,1.2,0.4,0.4,0.6,0.0,0.0,0.0,0.0,2.0,0.2,-0.5,0.1,28.0
